Text,Label,reads,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"some minutes ago I was to review the text of the 3 Assignment - alas,I couldn't for it was only ....\Hihih\"" there.So I have to put all \""0\"".I'm still wondering why do the student lose the last chance to improvethe scores""",0,145,44,57.84,12.79,46.36,25.77,44,13.64,88.64,56.82,11.36,9.09,9.09,0,0,0,0,2.27,11.36,11.36,13.64,11.36,2.27,2.27,20.45,0,0,2.27,4.55,4.55,4.55,2.27,2.27,0,0,2.27,0,0,0,0,0,13.64,2.27,2.27,2.27,6.82,2.27,0,0,0,0,0,0,0,0,0,0,9.09,0,4.55,2.27,2.27,2.27,6.82,9.09,0,11.36,2.27,0,9.09,6.82,0,0,0,0,0,0,0,0,0,0,0,40.91,13.64,2.27,0,0,0,0,2.27,9.09,4.55,0,9.09
many thanks for useful tips,1,200,5,99,50,1,99,5,0,80,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I feel my lunch breaks disappearing more or less permanently ;),0,267,11,32.58,1,99,25.77,11,18.18,81.82,27.27,18.18,18.18,18.18,0,0,0,0,0,0,0,0,0,9.09,0,18.18,18.18,18.18,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,9.09,0,9.09,18.18,9.09,0,9.09,9.09,0,0,0,9.09,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
But we all went through exactly the same system (admittedly not the same reviewers) but those who were really affected by the 'glitches' will be much closer to 50% (low scores on all essays) and may not even get a Certificate of Accomplishment - I don't see lots of complaints from them. Everyone who is close to 90% should remember that they have done really well regardless of whether they think their scores were fair or not.,1,296,76,31.67,29.92,41.67,25.77,38,17.11,92.11,60.53,14.47,7.89,1.32,1.32,0,0,5.26,6.58,5.26,11.84,13.16,5.26,6.58,5.26,21.05,5.26,3.95,3.95,2.63,5.26,5.26,2.63,2.63,0,0,1.32,11.84,0,0,0,0,26.32,2.63,1.32,2.63,3.95,5.26,11.84,1.32,1.32,0,0,0,0,0,0,0,7.89,1.32,1.32,1.32,3.95,0,7.89,9.21,2.63,6.58,1.32,5.26,0,3.95,0,0,0,0,0,1.32,0,0,0,1.32,0,15.79,2.63,0,0,0,0,0,1.32,0,3.95,5.26,2.63
but you did really well to get 89.3% Zebabaqtiyar - if you were saying I got 59.3% and I won't get a certificate of accomplishment because all my essay scores were low I might be more inclined to agree (by the way I haven't seen a single complaint about this) but you must have achieved around 40% in the essays which means that neither score was really badly affected and probably reflects a realistic grade (even if you consider your work better),1,291,81,16.53,31.08,49.92,25.77,81,16.05,90.12,59.26,16.05,12.35,6.17,0,6.17,0,0,3.7,6.17,8.64,12.35,8.64,8.64,3.7,22.22,4.94,3.7,1.23,4.94,3.7,7.41,3.7,3.7,0,0,1.23,8.64,0,0,0,0,20.99,3.7,2.47,3.7,4.94,2.47,9.88,2.47,1.23,1.23,0,0,0,0,0,0,12.35,0,4.94,1.23,8.64,0,8.64,9.88,2.47,4.94,0,4.94,0,6.17,0,0,0,0,0,2.47,0,0,1.23,1.23,0,12.35,0,0,0,0,0,0,1.23,0,2.47,4.94,3.7
"Hi, <redacted>.Thank you for pointing out my spelling mistake. It should be Prof, <redacted>!",1,526,15,52.71,90.87,1,25.77,7.5,33.33,73.33,46.67,20,13.33,6.67,0,6.67,0,0,6.67,0,13.33,13.33,0,0,0,20,0,0,0,0,0,13.33,6.67,6.67,0,0,0,13.33,0,0,0,0,13.33,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,13.33,6.67,0,6.67,0,0,0,13.33,0,6.67,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,60,13.33,13.33,0,0,0,6.67,0,0,0,0,26.67
"hmmm...Deadlines were already extended once...so why is it unfair now and not unfair then?COURSE INFO:OCTOBER 9, 2013Deadlines for the first two homeworks have been extended to noon Pacific time on Tuesday, October 15. There was some time zone confusion on the deadline of homework 2; also, some students have joined the class late. Because these homeworks are mostly self-assessed, we've decided to extend the deadlines. Now homeworks 1 through 3 are all due by noon Pacific time on Tuesday, October 15. Please check the time zone conversion carefully (and perhaps submit a little early) to make sure that you get the homeworks in on time!",0,136,111,78.49,64.09,84.25,25.77,22.2,25.23,85.59,41.44,4.5,1.8,0,0.9,0.9,0,0,2.7,6.31,10.81,8.11,8.11,5.41,0.9,12.61,3.6,0,0.9,9.01,2.7,3.6,1.8,1.8,0,0,0,3.6,0,0,0,0,11.71,1.8,2.7,0,4.5,1.8,0.9,0,0,0,0,0,0,0,0,0,7.21,2.7,0.9,1.8,0.9,0.9,6.31,8.11,0.9,24.32,0,5.41,18.92,10.81,0,4.5,0,0,0,0.9,0,0.9,0,0.9,0,20.72,9.01,4.5,0.9,0.9,0.9,0.9,0.9,0,0.9,1.8,0
"I'm, tooFirst I downloaded the Slides, but it is not enough",0,139,12,1,1,99,25.77,12,8.33,83.33,66.67,25,16.67,16.67,0,0,0,0,8.33,8.33,0,16.67,8.33,8.33,8.33,25,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,8.33,0,8.33,0,0,0,0,25,0,16.67,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,25,0,16.67,0,0,0,0,0,0,8.33,0,0
"I too overlooked Nov 19th essay 3 deadline thinking it was Nov 22nd.  Really sad because I wound up with 89.3%...think I could've gotten 0.7 point increase in essay grade with revision.  Maybe my 21 pts on final can all be counted?  8-(  Regardless, enlightening course, wonderful learned staff and thoroughly enjoyable experience.",1,129,54,62.04,17.72,69.58,60.88,13.5,27.78,72.22,35.19,9.26,7.41,7.41,0,0,0,0,1.85,0,9.26,7.41,5.56,3.7,0,12.96,5.56,0,0,9.26,1.85,5.56,3.7,1.85,0,0,1.85,0,0,0,0,0,18.52,7.41,1.85,3.7,1.85,1.85,1.85,1.85,0,0,0,1.85,0,1.85,0,0,5.56,0,0,3.7,1.85,0,7.41,5.56,0,11.11,1.85,7.41,1.85,11.11,0,0,0,0,0,0,0,0,0,0,0,24.07,11.11,3.7,0,0,1.85,0,1.85,0,1.85,1.85,1.85
The other Stanford MOOC platform (novoed) has a nice implementation. It shows how many days/hours are left for the deadline. This would be same for all participants anywhere in the world!,0,129,32,79.58,50,55.79,81.93,10.67,18.75,87.5,50,9.38,0,0,0,0,0,0,9.38,12.5,9.38,12.5,6.25,3.12,0,15.62,6.25,3.12,3.12,0,6.25,3.12,3.12,0,0,0,0,3.12,0,0,0,0,15.62,0,3.12,3.12,3.12,3.12,3.12,3.12,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,9.38,0,21.88,0,15.62,6.25,3.12,0,0,0,0,0,0,0,0,0,0,0,18.75,6.25,0,0,0,0,3.12,0,0,0,6.25,3.12
"Well, it's no longer offered.But the site says they're now issuing certificates, and even credits!",1,267,16,1.92,73.4,74.76,99,16,25,93.75,56.25,6.25,0,0,0,0,0,0,6.25,6.25,0,12.5,18.75,12.5,6.25,18.75,6.25,6.25,0,0,0,12.5,12.5,0,0,0,0,18.75,0,0,0,0,6.25,0,0,0,0,0,6.25,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,18.75,0,12.5,6.25,12.5,0,0,6.25,0,0,6.25,0,0,0,6.25,0,37.5,6.25,12.5,0,0,0,6.25,0,0,12.5,0,0
For how long??,0,139,3,18.82,50,98.01,25.77,3,0,100,66.67,0,0,0,0,0,0,0,0,0,33.33,0,33.33,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,66.67,0,0,0,0,0,0
"but the peer reviewers were different - some kind of lottery - would you meet the \multidisciplinary reviewer\"" or not. Such reviewing system  act  as  \""Russian roulette\"" (in some sense).""",0,480,27,66.94,22.95,33.94,25.77,13.5,33.33,77.78,40.74,3.7,3.7,0,0,3.7,0,0,0,7.41,7.41,7.41,3.7,11.11,3.7,11.11,7.41,7.41,0,0,7.41,0,0,0,0,0,0,7.41,0,0,0,0,33.33,3.7,0,3.7,14.81,0,14.81,3.7,0,0,0,0,0,0,0,0,3.7,3.7,0,0,0,0,3.7,3.7,0,3.7,0,3.7,0,11.11,0,0,3.7,0,0,0,0,0,0,0,0,51.85,7.41,0,0,0,0,0,7.41,14.81,0,7.41,14.81
"While I don't disagree this would mean we had to do more reviews too - with the current 3 reviews per paper we have to do 4 for each submission, would you be willing/able to do 8 or 10, and to do them all properly? I guess a balance between what is necessary and what is reasonable has to be reached. I also think that the problem is mainly due to the course being open access and, no matter how many reviews are done, the same percentage of total participants will rush through the process so the problem will remain.I like the idea of review feedback with additional points for quality",0,95,112,48.63,53.57,2.24,6.15,37.33,19.64,87.5,57.14,10.71,7.14,3.57,1.79,0.89,0,0.89,3.57,7.14,12.5,17.86,3.57,7.14,1.79,22.32,5.36,1.79,2.68,3.57,5.36,4.46,0.89,2.68,0,0,0,4.46,0,0,0,0,13.39,3.57,1.79,3.57,2.68,2.68,0.89,0,0,0,0,0,0,0,0,0,6.25,1.79,0.89,0,1.79,1.79,1.79,16.07,1.79,4.46,0.89,0.89,2.68,6.25,0,0,0,0,0,0,0,0,0,0,0,8.93,1.79,3.57,0,0,0.89,0,0.89,0,0.89,0,0.89
"Everyone who is in the high 80's must have got almost 40% on their essay component - how have they been affected by unfair reviews? I suspect they just think their work is better than the reviewers did.Now if they had 58%, had been given only 8% for their essays and wanted the 60% for a Certificate of Accomplishment lowered .... well that might be different, but not one request/complaint about that!",0,480,73,22.54,65.96,11.19,9.1,24.33,16.44,87.67,61.64,15.07,9.59,1.37,0,0,0,8.22,5.48,5.48,10.96,16.44,9.59,5.48,1.37,24.66,6.85,4.11,2.74,8.22,0,6.85,2.74,4.11,0,0,1.37,13.7,0,0,0,0,19.18,2.74,2.74,4.11,4.11,2.74,6.85,0,0,0,0,0,0,0,0,0,9.59,0,4.11,4.11,2.74,0,13.7,10.96,1.37,6.85,0,5.48,1.37,6.85,0,0,0,0,0,1.37,0,0,0,1.37,0,21.92,6.85,2.74,0,0,1.37,1.37,1.37,0,1.37,0,6.85
"Dear Taiko, and All,Just to \Render unto Caesar\"", this is not an Einstein's saying?? ???? ??? ????? ????, \""I know one thing: that I know nothing\"" (Ancient Greek = hèn oîda ?ti oudèn oîda)___ Socrates (called the Socratic paradox),  and in the same spirit,??????? ??? ???????????? ( Ancient Greek : Girasko Aei Didaskomenos) \""I Always Learn as I Age\"" _______ Solon the Athenian (one of the 7 Sages in Ancient Greece):) -T""",0,480,64,87.73,26.6,65.79,81.93,21.33,17.19,64.06,37.5,10.94,6.25,6.25,0,0,0,0,4.69,7.81,9.38,1.56,1.56,4.69,3.12,9.38,7.81,3.12,0,4.69,1.56,3.12,3.12,0,0,0,0,4.69,0,1.56,0,0,10.94,4.69,0,0,0,4.69,1.56,1.56,0,1.56,0,0,0,0,0,0,3.12,1.56,0,1.56,0,0,1.56,6.25,0,10.94,0,3.12,7.81,1.56,0,0,0,1.56,0,1.56,0,1.56,0,0,0,128.12,0,9.38,3.12,0,64.06,0,1.56,9.38,1.56,12.5,26.56
Same experience here. Peers are simply giving 0 for no reason and without any feedback where in the same section I have received 3s and 2s from other peers. Completely unfair.,0,168,31,45.37,16.66,78.86,25.77,10.33,19.35,83.87,51.61,6.45,3.23,3.23,0,0,0,0,3.23,3.23,12.9,6.45,12.9,6.45,6.45,9.68,9.68,6.45,3.23,3.23,6.45,6.45,3.23,3.23,0,0,0,6.45,0,0,0,0,16.13,3.23,3.23,0,3.23,3.23,6.45,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,12.9,3.23,9.68,3.23,3.23,0,0,0,0,0,0,0,0,0,0,0,9.68,9.68,0,0,0,0,0,0,0,0,0,0
Precisely!-T,1,168,2,93.26,50,1,25.77,2,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,50,50,0,0,0,0
"I was equally impressed by this course. I enjoyed every topic and learned a lot. Thank you very much, you improved my writing skills. I look forward to other future courses. I also appreciate my peers for reviewing my submissions, thank you.Regards<nameRedac_<anon_screen_name_redacted>> <nameRedac_<anon_screen_name_redacted>>",0,132,53,39.9,57.49,60.79,99,10.6,30.19,81.13,37.74,22.64,18.87,13.21,0,5.66,0,0,3.77,1.89,5.66,1.89,3.77,3.77,0,11.32,1.89,1.89,0,0,7.55,11.32,11.32,0,0,0,0,11.32,0,0,0,0,9.43,3.77,0,0,1.89,1.89,1.89,5.66,5.66,0,0,0,0,0,0,0,3.77,0,3.77,0,0,0,3.77,5.66,1.89,3.77,1.89,1.89,3.77,11.32,0,0,0,0,0,0,0,0,0,0,0,43.4,9.43,3.77,0,0,0,0,0,0,0,0,30.19
meaning that if you get 88/89% you must have close to 40% from that component of the course!,1,480,19,64.39,94.27,1,25.77,19,10.53,78.95,57.89,21.05,10.53,0,0,10.53,0,0,10.53,5.26,15.79,10.53,0,5.26,0,15.79,0,0,0,15.79,0,0,0,0,0,0,0,10.53,0,0,0,0,15.79,5.26,0,10.53,5.26,5.26,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,10.53,0,5.26,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,21.05,0,0,0,0,0,5.26,0,0,0,0,15.79
You'll never change everyone's attitude. No use thinking about it extensively -- it's his/her life.,1,145,15,1,97.69,1,25.77,7.5,26.67,86.67,60,40,20,0,0,6.67,13.33,0,20,0,6.67,13.33,13.33,0,13.33,26.67,0,0,0,0,0,0,0,0,0,0,0,26.67,0,0,6.67,6.67,33.33,6.67,13.33,0,0,13.33,0,0,0,0,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,13.33,6.67,13.33,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,53.33,13.33,0,0,0,0,0,13.33,0,20,0,6.67
I just missed the due date.Because I am busy with some academic matters. Any option for re submission of essay in any way.I am very sad.Because I got bad mark for essay 3.Please help me to re submission of essay 3. If it is not allowed it will affect my grade.,0,96,55,57.84,10.17,55.41,1,18.33,12.73,80,47.27,14.55,10.91,10.91,0,0,0,0,3.64,1.82,12.73,7.27,3.64,5.45,1.82,12.73,5.45,0,0,3.64,5.45,7.27,1.82,5.45,0,0,3.64,3.64,0,1.82,0,0,18.18,0,7.27,1.82,9.09,0,3.64,0,0,0,0,0,0,0,0,0,7.27,1.82,0,3.64,1.82,1.82,3.64,5.45,1.82,9.09,0,3.64,5.45,5.45,0,0,0,0,0,0,0,0,0,0,0,12.73,12.73,0,0,0,0,0,0,0,0,0,0
"Hello everybody,are there no unit slides for printing in this course? So I have to do all writing myself? I have only seen the weekly readings.Regards",0,36,28,14.58,23.75,52.86,25.77,9.33,17.86,85.71,60.71,17.86,10.71,10.71,0,0,0,0,7.14,3.57,10.71,14.29,10.71,3.57,3.57,25,0,0,0,0,3.57,0,0,0,0,0,0,7.14,0,0,0,0,7.14,0,0,0,0,7.14,0,3.57,3.57,0,0,0,0,0,0,0,3.57,3.57,0,0,0,0,3.57,17.86,0,10.71,3.57,3.57,3.57,7.14,0,0,0,0,0,0,0,0,0,0,0,14.29,3.57,3.57,0,0,7.14,0,0,0,0,0,0
I've got also 89%! Only 1% to distinction!,0,222,8,1.92,1,74.76,25.77,4,12.5,75,50,12.5,12.5,12.5,0,0,0,0,0,0,12.5,12.5,25,12.5,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,25,0,0,12.5,0,25
"Same here Mey,This was my first MOOC also and a very good and useful experience. Missed the distinction mark by a few points by being careless but got so much from the course. Right now the certificate is not that important for me.",1,160,44,51.42,8.65,31.94,68.66,14.67,11.36,90.91,56.82,9.09,4.55,4.55,0,0,0,0,4.55,11.36,9.09,6.82,11.36,11.36,2.27,11.36,4.55,2.27,0,2.27,4.55,11.36,6.82,4.55,0,0,2.27,0,0,0,0,0,6.82,0,0,0,0,2.27,6.82,2.27,0,0,0,0,0,0,0,0,9.09,0,2.27,2.27,4.55,0,6.82,4.55,0,6.82,0,2.27,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,9.09,6.82,2.27,0,0,0,0,0,0,0,0,0
This is great! Downloading is certainly an option but I like to view these from devices other than my school laptop. Knowing that these will here for a long time certainly helps a lot.,0,139,34,67.21,11.97,66.34,99,11.33,14.71,94.12,55.88,20.59,5.88,5.88,0,0,0,0,14.71,8.82,11.76,8.82,2.94,2.94,0,17.65,5.88,2.94,0,0,2.94,14.71,14.71,0,0,0,0,2.94,0,0,0,0,23.53,2.94,0,0,5.88,5.88,8.82,2.94,2.94,0,0,0,0,0,0,0,5.88,2.94,0,0,2.94,0,0,8.82,2.94,5.88,0,2.94,2.94,5.88,0,0,0,0,0,0,0,0,0,0,0,8.82,5.88,0,0,0,0,2.94,0,0,0,0,0
"I have also really appreciated everything in this course. I feel that I have learned a lot, even without having the time to do the essays.THANKS!",0,132,27,18.82,3.22,99,99,13.5,14.81,96.3,70.37,22.22,11.11,11.11,0,0,0,0,11.11,11.11,11.11,14.81,11.11,3.7,3.7,25.93,0,0,0,0,3.7,7.41,7.41,0,0,0,0,3.7,0,0,0,0,25.93,11.11,0,0,3.7,3.7,7.41,3.7,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,3.7,18.52,0,7.41,0,3.7,3.7,7.41,0,0,0,0,0,0,0,0,0,0,0,14.81,7.41,3.7,0,0,0,3.7,0,0,0,0,0
"I would like to add my thanks to Dr. Sainini, Raj, and all the people working behind the scenes for a great course. I truly enjoyed it and learned a lot. Thanks!",0,132,32,93.26,26.6,7.84,99,10.67,15.62,87.5,50,12.5,9.38,9.38,0,0,0,0,3.12,12.5,12.5,3.12,3.12,6.25,0,15.62,3.12,0,0,0,9.38,18.75,18.75,0,0,0,0,3.12,0,0,0,0,15.62,3.12,0,3.12,3.12,6.25,0,0,0,0,0,0,0,0,0,0,9.38,0,3.12,0,6.25,0,3.12,9.38,0,3.12,0,3.12,0,9.38,0,0,0,0,0,0,0,0,0,0,0,18.75,9.38,6.25,0,0,0,3.12,0,0,0,0,0
you can always retake the course...,1,136,6,62.04,99,23.51,25.77,6,0,83.33,50,16.67,16.67,0,0,16.67,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0
"Many thanks, that's helpful.",1,53,4,1.92,99,1,99,4,25,100,25,25,0,0,0,0,0,0,25,0,0,25,0,0,0,50,25,0,0,0,25,50,50,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,25,0,0,0,0,0,0,25,0,0
"Taiko, Thank you for adding that link! I am trying to impromve my statistics knowledge, too. Dr. <redacted>'s Statistics in Medicine course is available to view indefinitely, the same as this course will be once it is complete.https://class.stanford.edu/courses/Medicine/HRP258/Statistics_in_Medicine/aboutI will be watching the videos, but the links for home works and quizzes do not work. I still find value in the videos, though, and think they will help me for when the class will be live again at some point in the future.",0,196,96,62.04,30.11,84.47,65.25,24,16.67,86.46,50,10.42,7.29,5.21,0,1.04,0,1.04,3.12,6.25,12.5,11.46,6.25,6.25,1.04,18.75,2.08,2.08,1.04,1.04,2.08,2.08,2.08,0,0,0,0,3.12,0,0,0,0,12.5,5.21,0,0,3.12,1.04,3.12,4.17,4.17,0,0,4.17,0,4.17,0,0,5.21,1.04,3.12,1.04,1.04,0,0,13.54,5.21,13.54,0,8.33,5.21,8.33,2.08,1.04,0,0,0,1.04,0,1.04,0,0,0,26.04,7.29,6.25,0,0,0,1.04,0,0,1.04,0,10.42
Same here!,1,222,2,1.92,50,1,25.77,2,0,100,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0
"Hi guys,this is our class on youtube. I have noticed some questions about whether the content will be available. I do not have answer to this question, but I have found the videos of our class here:http://www.youtube.com/channel/UC-wb-n89yM0lBiP2QltsDaA?feature=watchWhile the class can be closed after due dates, this remains still available, and valuable a lot. Thank you Professor for this experience :)",0,78,73,43.36,60.81,72.89,92,18.25,21.92,84.93,49.32,13.7,8.22,4.11,2.74,1.37,0,0,5.48,5.48,8.22,12.33,4.11,5.48,1.37,15.07,1.37,1.37,1.37,0,2.74,4.11,4.11,0,0,0,0,8.22,0,1.37,0,1.37,13.7,6.85,0,0,5.48,0,4.11,4.11,2.74,0,0,0,0,0,0,0,5.48,4.11,0,1.37,0,0,2.74,13.7,1.37,9.59,0,2.74,6.85,5.48,5.48,0,0,0,0,2.74,0,2.74,0,0,0,23.29,6.85,5.48,1.37,0,1.37,0,2.74,0,0,0,5.48
"\Ivan Oransky and Adam Marcus are experienced science journalists who operate Retraction Watch, a site that highlights and tracks situations where published scientific papers may not be everything they seem. One reader apparently disagreed with a critique published on Retraction Watch - so he copied portions of the Retraction Watch site, claimed the work as his own and issued a DMCA takedown notice against the original authors.\""Source:  WordPress http://en.blog.wordpress.com/2013/11/21/striking-back-against-censorship/Retraction Watch viewpoint: \""Tracking retractions as a window into the scientific processRetraction Watch, WordPress parent company file suit to fight false copyright claims, censorship\""http://retractionwatch.wordpress.com/2013/11/21/retraction-watch-wordpress-parent-company-file-suit-to-fight-false-copyright-claims-censorship/""",0,145,127,91.67,70.94,1.03,7.54,63.5,36.22,53.54,27.56,4.72,2.36,0,0,0,1.57,0.79,2.36,6.3,7.87,2.36,3.15,4.72,0.79,3.94,2.36,1.57,1.57,5.51,0,3.15,0.79,2.36,0,1.57,0,8.66,1.57,0,0,1.57,7.09,1.57,0.79,0,2.36,0.79,2.36,5.51,4.72,0,0,0.79,0,0.79,0,0,2.36,1.57,0.79,0,0,0,0,8.66,0.79,4.72,0,4.72,0.79,7.87,0.79,0.79,0,0,0,1.57,0,1.57,0,0,0,38.58,5.51,3.15,1.57,0,0,0,12.6,3.15,0,0,12.6
"Dear fellow students,I'm pasting the text from an email I received from the EdX team. Hopefully students will see it here, if they have not already received and viewed the message through their own email accounts. Bolding is mine for emphasis.******************************************************Hello \Writing in the Sciences\"" students,We would like to congratulate everyone who participated in this course. As the course comes to a close, **we would like to remind everyone to verify that your OpenEdX account Full Name appears as you would like.** **Your Full Name will appear on your Statement of Accomplishment exactly as it is shown on your Dashboard page:**https://class.stanford.edu/dashboard**If you need any changes to your Full Name** (special characters, extra spacing, capitalization, etc) **click \""Edit\""** next to your Full Name on the Dashboard and make the appropriate changes on the resulting page. **Your Statement of Accomplishment will be generated with your Full Name appearing exactly as it does here.**We will begin generating the Statements of Accomplishment on Monday, November 25th and ***we cannot regenerate them*.** **You have until Sunday, November 24th at 11:59pm PST to make any changes to your Full Name.** **We anticipate that all Statements of Accomplishment will be generated and available via download from your Dashboard page by Monday, December 2nd.** **We will also send out a confirmation email when they are ready.**We hope you enjoyed the course!Regards,OpenEdX Team""",0,244,239,72.56,99,21.75,89.11,47.8,26.78,84.94,48.12,15.48,11.72,1.26,2.93,5.86,0,1.67,3.77,5.44,14.23,7.95,2.51,5.44,0.84,12.97,5.86,1.67,0.84,0.42,1.67,3.77,3.77,0,0,0,0,19.67,0,0.84,0,0.42,13.81,1.67,3.77,3.35,3.77,2.09,1.67,2.09,1.67,0.42,0,0,0,0,0,0,7.95,5.02,2.51,1.26,0,0,0.84,8.37,3.77,15.06,2.93,7.53,5.44,6.69,0.84,0,0.84,0,0,0.42,0,0.42,0,0,0,55.23,5.44,4.6,0.84,0,0,0.42,0,1.67,0.42,0.84,41
"Hello, Everyone!  Just finished taking the final exam and completed the course.  I really learned a lot over the past few weeks! :)  Anyway, good luck to everyone as they wrap things up. I had a great time working through the course and peer-reviewing essays. Again, good luck in the future and I hope to run into some of you in future courses!-<nameRedac_<anon_screen_name_redacted>>",0,151,69,93.26,66.81,72.78,99,11.5,15.94,91.3,47.83,11.59,7.25,4.35,0,1.45,0,1.45,4.35,10.14,14.49,1.45,5.8,5.8,0,10.14,5.8,1.45,0,0,4.35,10.14,10.14,0,0,0,0,8.7,0,0,0,0,14.49,1.45,0,1.45,7.25,4.35,1.45,1.45,1.45,0,0,0,0,0,0,0,14.49,1.45,1.45,2.9,8.7,0,7.25,2.9,4.35,18.84,1.45,7.25,10.14,10.14,0,0,0,0,0,2.9,0,1.45,0,0,1.45,27.54,4.35,4.35,0,0,0,4.35,2.9,0,0,0,11.59
"Dear prof. <redacted> & the Team behind this course,thank you very much for sharing your knowledge, this is really invaluable. It was a great experience, and I share the opinion with others that we have learned a lot!Best regards,<br><nameRedac_<anon_screen_name_redacted>> <nameRedac_<anon_screen_name_redacted>>",0,132,51,64.67,96.11,6.2,99,25.5,23.53,78.43,43.14,17.65,7.84,1.96,1.96,3.92,0,0,9.8,7.84,5.88,5.88,3.92,1.96,0,11.76,3.92,1.96,0,0,3.92,11.76,11.76,0,0,0,0,17.65,0,1.96,0,0,11.76,3.92,0,0,3.92,0,3.92,5.88,3.92,0,0,0,0,0,0,0,13.73,9.8,3.92,1.96,3.92,0,3.92,7.84,0,1.96,0,1.96,0,5.88,1.96,0,0,0,0,0,0,0,0,0,0,54.9,3.92,7.84,0,0,0,1.96,0,0,0,0,41.18
